season_id_x,matches,balls,total_runs,batter_runs
2008,58,13489,17937,16809
2009,57,13606,16353,15376
2010,60,14498,18883,17754
2011,73,17013,21154,19928
2012,74,17767,22453,21323
2013,76,18177,22602,21487
2014,60,14300,18931,17943
2015,59,13652,18353,17427
2016,60,14096,18862,17962
2017,59,13862,18786,17920
2018,60,14286,19901,19098
2019,60,14312,19434,18607
2020,60,14559,19416,18566
2021,60,14425,18637,17727
2022,74,17912,24395,23052
2023,74,17863,25688,24428
2024,71,17103,25971,24657
2025,74,17285,26527,25309
