venue,toss_strategy,matches,toss_winner_win_pct
ACA-VDCA Cricket Stadium - Vizag,Chase,9,55.56
ACA-VDCA Cricket Stadium - Vizag,Defend,8,50.0
"Arun Jaitley Stadium, New, Delhi",Chase,60,53.33
"Arun Jaitley Stadium, New, Delhi",Defend,37,48.65
"Barabati Stadium, Cuttack",Chase,5,60.0
"Barabati Stadium, Cuttack",Defend,2,100.0
"Barsapara Cricket Stadium, Guwahati",Chase,4,25.0
"Barsapara Cricket Stadium, Guwahati",Defend,1,0.0
"Brabourne Stadium, Mumbai",Chase,18,50.0
"Brabourne Stadium, Mumbai",Defend,9,55.56
"Dr DY Patil Sports Academy, Navi Mumbai",Chase,27,55.56
"Dr DY Patil Sports Academy, Navi Mumbai",Defend,10,50.0
"Eden Gardens, Kolkata",Chase,67,56.72
"Eden Gardens, Kolkata",Defend,33,39.39
"Ekana Cricket Stadium, Lucknow",Chase,16,68.75
"Ekana Cricket Stadium, Lucknow",Defend,6,66.67
"HPCA Stadium, Dharamshala",Chase,13,38.46
"HPCA Stadium, Dharamshala",Defend,2,50.0
"Holkar Cricket Stadium, Indore",Chase,8,87.5
"Holkar Cricket Stadium, Indore",Defend,1,0.0
"JSCA International Stadium Complex, Ranchi",Chase,4,75.0
"JSCA International Stadium Complex, Ranchi",Defend,3,33.33
"M Chinnaswamy Stadium, Bengaluru",Chase,90,54.44
"M Chinnaswamy Stadium, Bengaluru",Defend,9,44.44
"MA Chidambaram Stadium, Chennai",Chase,42,45.24
"MA Chidambaram Stadium, Chennai",Defend,49,55.1
"MCA Stadium, Pune",Chase,32,50.0
"MCA Stadium, Pune",Defend,19,63.16
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Chase,7,57.14
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Defend,4,75.0
"Narendra Modi Stadium, Ahmedabad",Chase,33,48.48
"Narendra Modi Stadium, Ahmedabad",Defend,12,41.67
"Nehru Stadium, Goa",Chase,3,33.33
"Nehru Stadium, Goa",Defend,2,50.0
"PCA Stadium, Mohali",Chase,44,52.27
"PCA Stadium, Mohali",Defend,17,35.29
"Rajiv Gandhi International Stadium, Uppal",Chase,47,46.81
"Rajiv Gandhi International Stadium, Uppal",Defend,36,30.56
"Saurashtra Cricket Association Stadium, Rajkot",Chase,7,57.14
"Saurashtra Cricket Association Stadium, Rajkot",Defend,3,0.0
"Sawai Mansingh Stadium, Jaipur",Chase,37,67.57
"Sawai Mansingh Stadium, Jaipur",Defend,27,40.74
"Shaheed Veer Narayan Singh International Stadium, New Raipur",Chase,3,66.67
"Shaheed Veer Narayan Singh International Stadium, New Raipur",Defend,3,33.33
"Vidarbha Cricket Association Stadium, Jamtha",Chase,1,0.0
"Vidarbha Cricket Association Stadium, Jamtha",Defend,2,50.0
"Wankhede Stadium, Mumbai",Chase,95,54.74
"Wankhede Stadium, Mumbai",Defend,30,43.33
