team_batting,runs,balls,matches,run_rate
Chennai Super Kings,41061,30390,251,8.11
Delhi Capitals,41651,31376,266,7.96
Gujarat Lions,4856,3558,30,8.19
Gujarat Titans,10649,7331,60,8.72
Kochi Tuskers Kerala,1901,1582,14,7.21
Kolkata Knight Riders,41297,30872,264,8.03
Lucknow Super Giants,10242,7144,58,8.6
Mumbai Indians,45045,33295,277,8.12
Pune Warriors,6358,5443,45,7.01
Punjab Kings,42815,31487,264,8.16
Rajasthan Royals,37315,27902,234,8.02
Rising Pune Supergiant,4533,3480,30,7.82
Royal Challengers Bangalore,43234,31718,270,8.18
Sunrisers Hyderabad,43016,32456,270,7.95
