venue,innings,innings_runs
"ACA-VDCA Cricket Stadium, Vizag",1,169.52941176470588
"ACA-VDCA Cricket Stadium, Vizag",2,141.94117647058823
"Arun Jaitley Stadium, Delhi",1,171.77319587628867
"Arun Jaitley Stadium, Delhi",2,157.25
"Barabati Stadium, Cuttack",1,167.71428571428572
"Barabati Stadium, Cuttack",2,157.71428571428572
"Barsapara Cricket Stadium, Guwahati",1,174.6
"Barsapara Cricket Stadium, Guwahati",2,161.6
"Brabourne Stadium, Mumbai",1,178.5185185185185
"Brabourne Stadium, Mumbai",2,166.11111111111111
"Buffalo Park, East London, SA",1,147.33333333333334
"Buffalo Park, East London, SA",2,119.0
"De Beers Diamond Oval, Kimberley, SA",1,158.0
"De Beers Diamond Oval, Kimberley, SA",2,141.0
"Dr DY Patil Sports Academy, NAVI Mumbai",1,159.64864864864865
"Dr DY Patil Sports Academy, NAVI Mumbai",2,148.0
"Dubai International Cricket Stadium, UAE",1,163.7608695652174
"Dubai International Cricket Stadium, UAE",2,149.08695652173913
"Eden Gardens, Kolkata",1,168.6
"Eden Gardens, Kolkata",2,153.64
"Ekana Cricket Stadium, Lucknow",1,175.36363636363637
"Ekana Cricket Stadium, Lucknow",2,166.0
"Green Park, Kanpur",1,161.25
"Green Park, Kanpur",2,163.25
"HPCA Stadium, Dharamsala",1,183.13333333333333
"HPCA Stadium, Dharamsala",2,158.71428571428572
"Holkar Cricket Stadium, Indore",1,160.33333333333334
"Holkar Cricket Stadium, Indore",2,158.77777777777777
"JSCA International Stadium, Ranchi",1,149.0
"JSCA International Stadium, Ranchi",2,144.71428571428572
"Jawaharlal Nehru Stadium, Kochi",1,146.8
"Jawaharlal Nehru Stadium, Kochi",2,125.8
"Kingsmead Cricket Ground, Durban",1,152.0
"Kingsmead Cricket Ground, Durban",2,138.2
"M Chinnaswamy Stadium, Bengaluru",1,172.97979797979798
"M Chinnaswamy Stadium, Bengaluru",2,155.59183673469389
"MA Chidambaram Stadium, Chepauk, Chennai",1,163.86813186813185
"MA Chidambaram Stadium, Chepauk, Chennai",2,150.0989010989011
"MCA Stadium, Pune",1,162.37254901960785
"MCA Stadium, Pune",2,144.35294117647058
"MYS PCA Stadium, Mullanpur",1,168.9090909090909
"MYS PCA Stadium, Mullanpur",2,160.1818181818182
"Narendra Modi Stadium, Ahmedabad",1,180.37777777777777
"Narendra Modi Stadium, Ahmedabad",2,164.46666666666667
"Nava Raipur Stadium, New Raipur",1,146.33333333333334
"Nava Raipur Stadium, New Raipur",2,143.83333333333334
"New Wanderers Stadium, Johannesburg, SA",1,144.0
"New Wanderers Stadium, Johannesburg, SA",2,142.5
"Newlands Cricket Stadium, Cape Town, SA",1,139.42857142857142
"Newlands Cricket Stadium, Cape Town, SA",2,112.57142857142857
"OUTsurance Oval, Bloemfontein, SA",1,135.0
"OUTsurance Oval, Bloemfontein, SA",2,129.5
"PCA Stadium, Mohali",1,168.27868852459017
"PCA Stadium, Mohali",2,157.36065573770492
"Rajiv Gandhi International Stadium, Uppal",1,164.9156626506024
"Rajiv Gandhi International Stadium, Uppal",2,154.5
"SCA Stadium, Rajkot",1,168.9
"SCA Stadium, Rajkot",2,162.7
"Sawai Mansingh Stadium, Jaipur",1,165.53125
"Sawai Mansingh Stadium, Jaipur",2,152.578125
"Sharjah Cricket Stadium, UAE",1,159.03571428571428
"Sharjah Cricket Stadium, UAE",2,147.5
"Sheikh Zayed Stadium, UAE",1,158.86206896551724
"Sheikh Zayed Stadium, UAE",2,145.6206896551724
"St George's Park, Gqeberha, SA",1,159.0
"St George's Park, Gqeberha, SA",2,131.42857142857142
"SuperSport Park, Centurion, SA",1,154.83333333333334
"SuperSport Park, Centurion, SA",2,149.58333333333334
"VCA Stadium, Nagpur",1,149.33333333333334
"VCA Stadium, Nagpur",2,144.66666666666666
"Wankhede Stadium, Mumbai",1,170.52
"Wankhede Stadium, Mumbai",2,159.912
"Zayed Cricket Stadium, Abu Dhabi",1,159.0
"Zayed Cricket Stadium, Abu Dhabi",2,150.375
