venue,matches,chase_win_rate,defend_win_rate,bias
"ACA-VDCA Cricket Stadium, Vizag",17,0.47058823529411764,0.5294117647058824,-5.882352941176472
"Arun Jaitley Stadium, Delhi",97,0.5051546391752577,0.4948453608247423,1.0309278350515427
"Barabati Stadium, Cuttack",7,0.2857142857142857,0.7142857142857143,-42.85714285714286
"Barsapara Cricket Stadium, Guwahati",5,0.4,0.6,-19.999999999999996
"Brabourne Stadium, Mumbai",27,0.48148148148148145,0.5185185185185185,-3.7037037037037033
"Buffalo Park, East London, SA",3,0.3333333333333333,0.6666666666666666,-33.33333333333333
"De Beers Diamond Oval, Kimberley, SA",3,0.6666666666666666,0.3333333333333333,33.33333333333333
"Dr DY Patil Sports Academy, NAVI Mumbai",37,0.5135135135135135,0.4864864864864865,2.7027027027026973
"Dubai International Cricket Stadium, UAE",46,0.5,0.5,0.0
"Eden Gardens, Kolkata",100,0.57,0.43,13.999999999999996
"Ekana Cricket Stadium, Lucknow",22,0.5,0.5,0.0
"Green Park, Kanpur",4,1.0,0.0,100.0
"HPCA Stadium, Dharamsala",15,0.5333333333333333,0.4666666666666667,6.666666666666665
"Holkar Cricket Stadium, Indore",9,0.8888888888888888,0.1111111111111111,77.77777777777777
"JSCA International Stadium, Ranchi",7,0.5714285714285714,0.42857142857142855,14.285714285714285
"Jawaharlal Nehru Stadium, Kochi",5,0.6,0.4,19.999999999999996
"Kingsmead Cricket Ground, Durban",15,0.5333333333333333,0.4666666666666667,6.666666666666665
"M Chinnaswamy Stadium, Bengaluru",99,0.5252525252525253,0.47474747474747475,5.0505050505050555
"MA Chidambaram Stadium, Chepauk, Chennai",91,0.38461538461538464,0.6153846153846154,-23.076923076923077
"MCA Stadium, Pune",51,0.47058823529411764,0.5294117647058824,-5.882352941176472
"MYS PCA Stadium, Mullanpur",11,0.45454545454545453,0.5454545454545454,-9.090909090909088
"Narendra Modi Stadium, Ahmedabad",45,0.5333333333333333,0.4666666666666667,6.666666666666665
"Nava Raipur Stadium, New Raipur",6,0.5,0.5,0.0
"New Wanderers Stadium, Johannesburg, SA",8,0.625,0.375,25.0
"Newlands Cricket Stadium, Cape Town, SA",7,0.2857142857142857,0.7142857142857143,-42.85714285714286
"OUTsurance Oval, Bloemfontein, SA",2,0.5,0.5,0.0
"PCA Stadium, Mohali",61,0.6229508196721312,0.3770491803278688,24.590163934426236
"Rajiv Gandhi International Stadium, Uppal",83,0.5783132530120482,0.42168674698795183,15.662650602409634
"SCA Stadium, Rajkot",10,0.6,0.4,19.999999999999996
"Sawai Mansingh Stadium, Jaipur",64,0.578125,0.421875,15.625
"Sharjah Cricket Stadium, UAE",28,0.5357142857142857,0.4642857142857143,7.14285714285714
"Sheikh Zayed Stadium, UAE",29,0.4827586206896552,0.5172413793103449,-3.448275862068967
"St George's Park, Gqeberha, SA",7,0.5714285714285714,0.42857142857142855,14.285714285714285
"SuperSport Park, Centurion, SA",12,0.5833333333333334,0.4166666666666667,16.666666666666668
"VCA Stadium, Nagpur",3,0.6666666666666666,0.3333333333333333,33.33333333333333
"Wankhede Stadium, Mumbai",125,0.52,0.48,4.0000000000000036
"Zayed Cricket Stadium, Abu Dhabi",8,0.625,0.375,25.0
