venue,matches
"Wankhede Stadium, Mumbai",125
"Eden Gardens, Kolkata",100
"M Chinnaswamy Stadium, Bengaluru",99
"Arun Jaitley Stadium, Delhi",97
"MA Chidambaram Stadium, Chepauk, Chennai",91
"Rajiv Gandhi International Stadium, Uppal",83
"Sawai Mansingh Stadium, Jaipur",64
"PCA Stadium, Mohali",61
"MCA Stadium, Pune",51
"Dubai International Cricket Stadium, UAE",46
"Narendra Modi Stadium, Ahmedabad",45
"Dr DY Patil Sports Academy, NAVI Mumbai",37
"Sheikh Zayed Stadium, UAE",29
"Sharjah Cricket Stadium, UAE",28
"Brabourne Stadium, Mumbai",27
"Ekana Cricket Stadium, Lucknow",22
"ACA-VDCA Cricket Stadium, Vizag",17
"Kingsmead Cricket Ground, Durban",15
"HPCA Stadium, Dharamsala",15
"SuperSport Park, Centurion, SA",12
"MYS PCA Stadium, Mullanpur",11
"SCA Stadium, Rajkot",10
"Holkar Cricket Stadium, Indore",9
"New Wanderers Stadium, Johannesburg, SA",8
"Zayed Cricket Stadium, Abu Dhabi",8
"St George's Park, Gqeberha, SA",7
"Barabati Stadium, Cuttack",7
"JSCA International Stadium, Ranchi",7
"Newlands Cricket Stadium, Cape Town, SA",7
"Nava Raipur Stadium, New Raipur",6
"Barsapara Cricket Stadium, Guwahati",5
"Jawaharlal Nehru Stadium, Kochi",5
"Green Park, Kanpur",4
"Buffalo Park, East London, SA",3
"De Beers Diamond Oval, Kimberley, SA",3
"VCA Stadium, Nagpur",3
"OUTsurance Oval, Bloemfontein, SA",2
