venue,matches,toss_win_match_rate,field_rate,bat_rate,decision_preference_index
"ACA-VDCA Cricket Stadium, Vizag",17,0.5294117647058824,0.5294117647058824,0.47058823529411764,5.882352941176472
"Arun Jaitley Stadium, Delhi",97,0.5154639175257731,0.6185567010309279,0.38144329896907214,23.71134020618557
"Barabati Stadium, Cuttack",7,0.7142857142857143,0.7142857142857143,0.2857142857142857,42.85714285714286
"Barsapara Cricket Stadium, Guwahati",5,0.2,0.8,0.2,60.00000000000001
"Brabourne Stadium, Mumbai",27,0.5185185185185185,0.6666666666666666,0.3333333333333333,33.33333333333333
"Buffalo Park, East London, SA",3,0.6666666666666666,0.0,1.0,-100.0
"De Beers Diamond Oval, Kimberley, SA",3,0.6666666666666666,0.3333333333333333,0.6666666666666666,-33.33333333333333
"Dr DY Patil Sports Academy, NAVI Mumbai",37,0.5405405405405406,0.7297297297297297,0.2702702702702703,45.945945945945944
"Dubai International Cricket Stadium, UAE",46,0.43478260869565216,0.5869565217391305,0.41304347826086957,17.391304347826093
"Eden Gardens, Kolkata",100,0.51,0.67,0.33,34.0
"Ekana Cricket Stadium, Lucknow",22,0.6818181818181818,0.7272727272727273,0.2727272727272727,45.45454545454546
"Green Park, Kanpur",4,1.0,1.0,0.0,100.0
"HPCA Stadium, Dharamsala",15,0.4,0.8666666666666667,0.13333333333333333,73.33333333333334
"Holkar Cricket Stadium, Indore",9,0.7777777777777778,0.8888888888888888,0.1111111111111111,77.77777777777777
"JSCA International Stadium, Ranchi",7,0.5714285714285714,0.5714285714285714,0.42857142857142855,14.285714285714285
"Jawaharlal Nehru Stadium, Kochi",5,0.4,0.6,0.4,19.999999999999996
"Kingsmead Cricket Ground, Durban",15,0.6,0.3333333333333333,0.6666666666666666,-33.33333333333333
"M Chinnaswamy Stadium, Bengaluru",99,0.5353535353535354,0.9090909090909091,0.09090909090909091,81.81818181818181
"MA Chidambaram Stadium, Chepauk, Chennai",91,0.5054945054945055,0.46153846153846156,0.5384615384615384,-7.692307692307687
"MCA Stadium, Pune",51,0.5490196078431373,0.6274509803921569,0.37254901960784315,25.49019607843137
"MYS PCA Stadium, Mullanpur",11,0.6363636363636364,0.6363636363636364,0.36363636363636365,27.27272727272727
"Narendra Modi Stadium, Ahmedabad",45,0.4666666666666667,0.7333333333333333,0.26666666666666666,46.666666666666664
"Nava Raipur Stadium, New Raipur",6,0.5,0.5,0.5,0.0
"New Wanderers Stadium, Johannesburg, SA",8,0.375,0.75,0.25,50.0
"Newlands Cricket Stadium, Cape Town, SA",7,0.5714285714285714,0.42857142857142855,0.5714285714285714,-14.285714285714285
"OUTsurance Oval, Bloemfontein, SA",2,1.0,0.5,0.5,0.0
"PCA Stadium, Mohali",61,0.47540983606557374,0.7213114754098361,0.2786885245901639,44.26229508196722
"Rajiv Gandhi International Stadium, Uppal",83,0.39759036144578314,0.5662650602409639,0.43373493975903615,13.253012048192774
"SCA Stadium, Rajkot",10,0.4,0.7,0.3,40.0
"Sawai Mansingh Stadium, Jaipur",64,0.5625,0.578125,0.421875,15.625
"Sharjah Cricket Stadium, UAE",28,0.5714285714285714,0.7142857142857143,0.2857142857142857,42.85714285714286
"Sheikh Zayed Stadium, UAE",29,0.5517241379310345,0.4827586206896552,0.5172413793103449,-3.448275862068967
"St George's Park, Gqeberha, SA",7,0.42857142857142855,0.0,1.0,-100.0
"SuperSport Park, Centurion, SA",12,0.6666666666666666,0.5,0.5,0.0
"VCA Stadium, Nagpur",3,0.3333333333333333,0.3333333333333333,0.6666666666666666,-33.33333333333333
"Wankhede Stadium, Mumbai",125,0.52,0.76,0.24,52.0
"Zayed Cricket Stadium, Abu Dhabi",8,0.5,0.625,0.375,25.0
